academic_strength,consistency,math_inclination,language_inclination,recommended_stream,counselling_reason
0.75,1.0,0.7,0.68,Science,Strong academic performance with high mathematical ability
0.9333333333333333,1.0,0.77,0.935,Science,Strong academic performance with high mathematical ability
0.45,0.5,0.62,0.52,Commerce,Moderate academics with good numerical and analytical skills
0.6,0.5,0.54,0.5,Commerce,Moderate academics with good numerical and analytical skills
0.9333333333333333,1.0,0.51,0.56,Commerce,Moderate academics with good numerical and analytical skills
0.45,1.0,0.99,1.0,Science,Strong academic performance with high mathematical ability
0.7666666666666667,1.0,0.84,0.755,Science,Strong academic performance with high mathematical ability
0.6333333333333333,1.0,0.75,0.835,Science,Strong academic performance with high mathematical ability
0.6666666666666667,1.0,0.78,0.805,Science,Strong academic performance with high mathematical ability
0.4,0.5,0.51,0.62,Commerce,Moderate academics with good numerical and analytical skills
0.6666666666666667,1.0,0.55,0.67,Science,Strong academic performance with high mathematical ability
0.7666666666666667,1.0,0.79,0.905,Science,Strong academic performance with high mathematical ability
0.75,1.0,0.91,0.905,Science,Strong academic performance with high mathematical ability
0.65,1.0,0.88,0.93,Science,Strong academic performance with high mathematical ability
0.6333333333333333,1.0,0.63,0.565,Science,Strong academic performance with high mathematical ability
0.38333333333333336,1.0,0.83,0.765,Science,Strong academic performance with high mathematical ability
0.6333333333333333,1.0,0.87,0.905,Science,Strong academic performance with high mathematical ability
0.4666666666666667,1.0,0.72,0.675,Commerce,Moderate academics with good numerical and analytical skills
0.4,0.25,0.65,0.755,Commerce,Moderate academics with good numerical and analytical skills
0.18333333333333332,0.3333333333333333,0.82,0.78,Commerce,Moderate academics with good numerical and analytical skills
0.9,1.0,0.51,0.5,Commerce,Moderate academics with good numerical and analytical skills
0.2,0.3333333333333333,0.89,0.83,Commerce,Moderate academics with good numerical and analytical skills
0.13333333333333333,1.0,0.53,0.385,Commerce,Moderate academics with good numerical and analytical skills
0.5833333333333333,1.0,0.87,0.72,Science,Strong academic performance with high mathematical ability
0.5666666666666667,1.0,0.75,0.825,Science,Strong academic performance with high mathematical ability
0.15,1.0,0.74,0.77,Commerce,Moderate academics with good numerical and analytical skills
0.18333333333333332,1.0,0.58,0.515,Commerce,Moderate academics with good numerical and analytical skills
0.16666666666666669,1.0,0.51,0.475,Commerce,Moderate academics with good numerical and analytical skills
0.06666666666666667,0.3333333333333333,0.7,0.555,Commerce,Moderate academics with good numerical and analytical skills
0.6333333333333333,0.5,0.59,0.665,Science,Strong academic performance with high mathematical ability
0.7833333333333333,1.0,0.71,0.65,Science,Strong academic performance with high mathematical ability
0.26666666666666666,1.0,0.76,0.715,Science,Strong academic performance with high mathematical ability
0.45,0.3333333333333333,0.59,0.63,Commerce,Moderate academics with good numerical and analytical skills
0.5166666666666667,1.0,0.42,0.545,Commerce,Moderate academics with good numerical and analytical skills
0.6833333333333333,1.0,0.57,0.45,Science,Strong academic performance with high mathematical ability
0.08333333333333334,0.25,0.88,0.755,Commerce,Moderate academics with good numerical and analytical skills
0.5,1.0,0.22,0.36,Commerce,Moderate academics with good numerical and analytical skills
0.21666666666666665,0.25,0.88,0.795,Commerce,Moderate academics with good numerical and analytical skills
0.5333333333333333,1.0,0.73,0.67,Commerce,Moderate academics with good numerical and analytical skills
0.21666666666666665,1.0,0.68,0.78,Commerce,Moderate academics with good numerical and analytical skills
0.45,0.25,1.0,0.965,Commerce,Moderate academics with good numerical and analytical skills
0.18333333333333332,0.25,0.62,0.68,Commerce,Moderate academics with good numerical and analytical skills
0.65,0.5,0.77,0.675,Science,Strong academic performance with high mathematical ability
0.5,0.3333333333333333,0.59,0.68,Commerce,Moderate academics with good numerical and analytical skills
0.08333333333333334,0.25,0.54,0.48,Commerce,Moderate academics with good numerical and analytical skills
0.5666666666666667,1.0,0.62,0.64,Commerce,Moderate academics with good numerical and analytical skills
0.45,1.0,0.7,0.885,Commerce,Moderate academics with good numerical and analytical skills
0.6833333333333333,1.0,0.66,0.76,Science,Strong academic performance with high mathematical ability
0.45,0.25,0.6,0.6,Commerce,Moderate academics with good numerical and analytical skills
0.7833333333333333,1.0,0.61,0.865,Science,Strong academic performance with high mathematical ability
0.5666666666666667,0.5,0.66,0.63,Commerce,Moderate academics with good numerical and analytical skills
0.21666666666666665,0.3333333333333333,0.82,0.76,Commerce,Moderate academics with good numerical and analytical skills
0.35,0.3333333333333333,0.75,0.865,Commerce,Moderate academics with good numerical and analytical skills
0.11666666666666667,0.5,0.49,0.525,Arts,Better inclination towards language-based or creative subjects
0.5,1.0,0.52,0.51,Commerce,Moderate academics with good numerical and analytical skills
0.33333333333333337,0.25,0.81,0.915,Commerce,Moderate academics with good numerical and analytical skills
0.5833333333333333,0.5,0.96,1.0,Commerce,Moderate academics with good numerical and analytical skills
0.5,1.0,0.53,0.51,Commerce,Moderate academics with good numerical and analytical skills
0.75,1.0,0.58,0.77,Science,Strong academic performance with high mathematical ability
0.21666666666666665,1.0,0.68,0.805,Commerce,Moderate academics with good numerical and analytical skills
0.7,1.0,0.67,0.725,Science,Strong academic performance with high mathematical ability
0.18333333333333332,0.3333333333333333,0.72,0.735,Commerce,Moderate academics with good numerical and analytical skills
0.7333333333333333,1.0,0.94,0.83,Science,Strong academic performance with high mathematical ability
0.5666666666666667,1.0,0.79,0.835,Science,Strong academic performance with high mathematical ability
0.25,0.25,0.63,0.685,Commerce,Moderate academics with good numerical and analytical skills
0.5,1.0,0.43,0.525,Commerce,Moderate academics with good numerical and analytical skills
0.4666666666666667,1.0,0.81,0.89,Science,Strong academic performance with high mathematical ability
0.6166666666666667,1.0,0.46,0.56,Commerce,Moderate academics with good numerical and analytical skills
0.2833333333333333,1.0,0.71,0.77,Commerce,Moderate academics with good numerical and analytical skills
0.45,1.0,0.52,0.66,Commerce,Moderate academics with good numerical and analytical skills
0.5166666666666667,1.0,0.97,1.0,Science,Strong academic performance with high mathematical ability
0.4166666666666667,1.0,0.62,0.715,Commerce,Moderate academics with good numerical and analytical skills
0.6166666666666667,1.0,0.46,0.65,Commerce,Moderate academics with good numerical and analytical skills
0.8333333333333334,1.0,0.5,0.485,Commerce,Moderate academics with good numerical and analytical skills
0.4333333333333333,1.0,0.65,0.695,Commerce,Moderate academics with good numerical and analytical skills
0.6166666666666667,1.0,0.45,0.505,Commerce,Moderate academics with good numerical and analytical skills
0.5833333333333333,1.0,0.65,0.66,Commerce,Moderate academics with good numerical and analytical skills
0.5666666666666667,1.0,0.8,0.705,Science,Strong academic performance with high mathematical ability
0.75,1.0,0.62,0.67,Science,Strong academic performance with high mathematical ability
0.4,1.0,0.48,0.485,Arts,Better inclination towards language-based or creative subjects
0.45,1.0,0.77,0.875,Science,Strong academic performance with high mathematical ability
0.6,1.0,0.66,0.67,Science,Strong academic performance with high mathematical ability
0.4166666666666667,1.0,0.76,0.81,Science,Strong academic performance with high mathematical ability
0.38333333333333336,1.0,0.62,0.65,Commerce,Moderate academics with good numerical and analytical skills
0.45,1.0,0.77,0.62,Science,Strong academic performance with high mathematical ability
0.6833333333333333,1.0,0.69,0.845,Science,Strong academic performance with high mathematical ability
0.7333333333333333,1.0,0.61,0.535,Science,Strong academic performance with high mathematical ability
0.8,1.0,0.59,0.67,Science,Strong academic performance with high mathematical ability
0.4666666666666667,1.0,0.55,0.535,Commerce,Moderate academics with good numerical and analytical skills
0.9,0.5,0.45,0.54,Commerce,Moderate academics with good numerical and analytical skills
0.4666666666666667,1.0,0.78,0.775,Science,Strong academic performance with high mathematical ability
0.8,1.0,0.67,0.85,Science,Strong academic performance with high mathematical ability
0.4666666666666667,1.0,0.65,0.79,Commerce,Moderate academics with good numerical and analytical skills
0.4666666666666667,1.0,0.69,0.73,Commerce,Moderate academics with good numerical and analytical skills
0.31666666666666665,1.0,0.57,0.685,Commerce,Moderate academics with good numerical and analytical skills
0.5166666666666667,1.0,0.59,0.415,Commerce,Moderate academics with good numerical and analytical skills
0.4666666666666667,0.5,0.74,0.745,Commerce,Moderate academics with good numerical and analytical skills
0.35,0.25,0.82,0.62,Commerce,Moderate academics with good numerical and analytical skills
0.6,1.0,0.81,0.78,Science,Strong academic performance with high mathematical ability
0.4666666666666667,1.0,0.74,0.785,Commerce,Moderate academics with good numerical and analytical skills
0.35,1.0,0.58,0.635,Commerce,Moderate academics with good numerical and analytical skills
0.4,1.0,0.8,0.79,Science,Strong academic performance with high mathematical ability
0.6166666666666667,1.0,0.35,0.275,Commerce,Moderate academics with good numerical and analytical skills
0.65,1.0,0.42,0.61,Commerce,Moderate academics with good numerical and analytical skills
0.35,0.5,0.6,0.535,Commerce,Moderate academics with good numerical and analytical skills
0.4666666666666667,1.0,0.87,0.86,Science,Strong academic performance with high mathematical ability
0.7333333333333333,1.0,0.84,0.79,Science,Strong academic performance with high mathematical ability
0.26666666666666666,0.3333333333333333,0.83,0.87,Commerce,Moderate academics with good numerical and analytical skills
0.33333333333333337,0.5,0.34,0.405,Arts,Better inclination towards language-based or creative subjects
0.36666666666666664,1.0,0.66,0.735,Commerce,Moderate academics with good numerical and analytical skills
0.4833333333333333,1.0,0.61,0.56,Commerce,Moderate academics with good numerical and analytical skills
0.3,1.0,0.56,0.71,Commerce,Moderate academics with good numerical and analytical skills
0.18333333333333332,0.5,0.87,0.79,Commerce,Moderate academics with good numerical and analytical skills
0.8166666666666667,1.0,0.55,0.635,Science,Strong academic performance with high mathematical ability
0.6333333333333333,1.0,0.86,0.775,Science,Strong academic performance with high mathematical ability
0.6666666666666667,1.0,0.52,0.695,Commerce,Moderate academics with good numerical and analytical skills
0.4,0.5,0.45,0.55,Arts,Better inclination towards language-based or creative subjects
0.7666666666666667,1.0,0.72,0.715,Science,Strong academic performance with high mathematical ability
0.5833333333333333,1.0,0.57,0.52,Commerce,Moderate academics with good numerical and analytical skills
0.45,1.0,0.68,0.68,Commerce,Moderate academics with good numerical and analytical skills
0.5666666666666667,1.0,0.88,0.945,Science,Strong academic performance with high mathematical ability
0.6666666666666667,1.0,0.76,0.65,Science,Strong academic performance with high mathematical ability
0.55,1.0,0.46,0.425,Commerce,Moderate academics with good numerical and analytical skills
0.4833333333333333,1.0,0.67,0.845,Commerce,Moderate academics with good numerical and analytical skills
0.6666666666666667,1.0,0.92,0.825,Science,Strong academic performance with high mathematical ability
0.36666666666666664,1.0,0.83,0.83,Science,Strong academic performance with high mathematical ability
0.5,1.0,0.8,0.76,Science,Strong academic performance with high mathematical ability
0.6666666666666667,1.0,0.63,0.665,Science,Strong academic performance with high mathematical ability
0.6166666666666667,1.0,0.64,0.67,Science,Strong academic performance with high mathematical ability
0.5833333333333333,1.0,0.54,0.515,Commerce,Moderate academics with good numerical and analytical skills
0.23333333333333334,0.5,0.84,0.8,Commerce,Moderate academics with good numerical and analytical skills
0.6,1.0,0.73,0.67,Science,Strong academic performance with high mathematical ability
0.55,1.0,0.8,0.83,Science,Strong academic performance with high mathematical ability
0.1,1.0,0.56,0.535,Commerce,Moderate academics with good numerical and analytical skills
0.6166666666666667,1.0,0.59,0.47,Science,Strong academic performance with high mathematical ability
0.11666666666666667,1.0,0.75,0.715,Science,Strong academic performance with high mathematical ability
0.9,1.0,0.85,0.735,Science,Strong academic performance with high mathematical ability
0.6166666666666667,1.0,0.89,0.75,Science,Strong academic performance with high mathematical ability
0.36666666666666664,0.25,0.58,0.69,Commerce,Moderate academics with good numerical and analytical skills
0.21666666666666665,0.5,0.65,0.63,Commerce,Moderate academics with good numerical and analytical skills
0.7166666666666667,1.0,0.68,0.565,Science,Strong academic performance with high mathematical ability
0.36666666666666664,0.5,0.47,0.49,Arts,Better inclination towards language-based or creative subjects
0.45,1.0,0.71,0.83,Commerce,Moderate academics with good numerical and analytical skills
0.38333333333333336,0.5,0.6,0.7,Commerce,Moderate academics with good numerical and analytical skills
0.4166666666666667,1.0,0.8,0.76,Science,Strong academic performance with high mathematical ability
0.5333333333333333,1.0,0.54,0.52,Commerce,Moderate academics with good numerical and analytical skills
0.4,0.5,0.62,0.715,Commerce,Moderate academics with good numerical and analytical skills
0.65,1.0,0.64,0.705,Science,Strong academic performance with high mathematical ability
0.55,1.0,0.78,0.77,Science,Strong academic performance with high mathematical ability
0.7166666666666667,1.0,0.7,0.765,Science,Strong academic performance with high mathematical ability
0.31666666666666665,1.0,0.65,0.81,Commerce,Moderate academics with good numerical and analytical skills
0.8833333333333334,1.0,0.64,0.78,Science,Strong academic performance with high mathematical ability
0.4,1.0,0.79,0.785,Science,Strong academic performance with high mathematical ability
0.6166666666666667,1.0,0.44,0.505,Commerce,Moderate academics with good numerical and analytical skills
0.4666666666666667,1.0,0.99,0.915,Science,Strong academic performance with high mathematical ability
0.31666666666666665,1.0,0.76,0.705,Science,Strong academic performance with high mathematical ability
0.85,1.0,0.59,0.415,Science,Strong academic performance with high mathematical ability
0.4666666666666667,1.0,0.63,0.78,Commerce,Moderate academics with good numerical and analytical skills
0.55,1.0,0.69,0.745,Commerce,Moderate academics with good numerical and analytical skills
0.4833333333333333,1.0,0.88,0.935,Science,Strong academic performance with high mathematical ability
0.1,1.0,0.71,0.73,Commerce,Moderate academics with good numerical and analytical skills
0.45,0.3333333333333333,0.69,0.62,Commerce,Moderate academics with good numerical and analytical skills
0.7166666666666667,1.0,0.58,0.455,Science,Strong academic performance with high mathematical ability
0.55,1.0,0.47,0.555,Commerce,Moderate academics with good numerical and analytical skills
0.7166666666666667,1.0,0.65,0.705,Science,Strong academic performance with high mathematical ability
0.5,1.0,0.88,0.805,Science,Strong academic performance with high mathematical ability
0.6,1.0,0.83,0.755,Science,Strong academic performance with high mathematical ability
0.4666666666666667,1.0,0.85,0.925,Science,Strong academic performance with high mathematical ability
0.45,1.0,0.59,0.69,Commerce,Moderate academics with good numerical and analytical skills
0.4166666666666667,0.5,0.65,0.83,Commerce,Moderate academics with good numerical and analytical skills
0.5166666666666667,1.0,0.73,0.565,Commerce,Moderate academics with good numerical and analytical skills
0.4,1.0,0.53,0.47,Commerce,Moderate academics with good numerical and analytical skills
0.5,0.5,0.45,0.47,Commerce,Moderate academics with good numerical and analytical skills
0.6,1.0,0.73,0.815,Science,Strong academic performance with high mathematical ability
0.45,1.0,0.7,0.78,Commerce,Moderate academics with good numerical and analytical skills
0.5,1.0,0.37,0.46,Commerce,Moderate academics with good numerical and analytical skills
0.55,1.0,0.81,0.82,Science,Strong academic performance with high mathematical ability
0.9166666666666666,1.0,0.97,0.85,Science,Strong academic performance with high mathematical ability
0.6166666666666667,1.0,0.67,0.855,Science,Strong academic performance with high mathematical ability
0.7166666666666667,1.0,0.88,0.755,Science,Strong academic performance with high mathematical ability
0.7166666666666667,1.0,0.77,0.765,Science,Strong academic performance with high mathematical ability
0.5666666666666667,1.0,0.76,0.69,Science,Strong academic performance with high mathematical ability
0.75,1.0,0.86,0.715,Science,Strong academic performance with high mathematical ability
0.6166666666666667,0.5,0.63,0.585,Science,Strong academic performance with high mathematical ability
0.9,1.0,0.65,0.74,Science,Strong academic performance with high mathematical ability
0.6833333333333333,1.0,0.78,0.785,Science,Strong academic performance with high mathematical ability
0.6166666666666667,1.0,0.67,0.61,Science,Strong academic performance with high mathematical ability
0.31666666666666665,1.0,0.46,0.42,Arts,Better inclination towards language-based or creative subjects
0.4333333333333333,1.0,0.71,0.71,Commerce,Moderate academics with good numerical and analytical skills
0.6833333333333333,1.0,0.4,0.48,Commerce,Moderate academics with good numerical and analytical skills
0.7833333333333333,1.0,0.9,0.81,Science,Strong academic performance with high mathematical ability
0.55,1.0,0.81,0.795,Science,Strong academic performance with high mathematical ability
0.5333333333333333,1.0,0.56,0.53,Commerce,Moderate academics with good numerical and analytical skills
0.6833333333333333,1.0,0.67,0.825,Science,Strong academic performance with high mathematical ability
0.8666666666666666,1.0,0.8,0.7,Science,Strong academic performance with high mathematical ability
0.7,0.5,0.74,0.79,Science,Strong academic performance with high mathematical ability
0.6333333333333333,0.5,0.69,0.68,Science,Strong academic performance with high mathematical ability
0.8833333333333334,1.0,0.99,0.84,Science,Strong academic performance with high mathematical ability
0.4166666666666667,0.5,0.51,0.48,Commerce,Moderate academics with good numerical and analytical skills
0.65,0.5,0.53,0.69,Commerce,Moderate academics with good numerical and analytical skills
0.5333333333333333,0.5,0.49,0.545,Commerce,Moderate academics with good numerical and analytical skills
0.3,0.5,0.73,0.78,Commerce,Moderate academics with good numerical and analytical skills
0.65,1.0,0.66,0.585,Science,Strong academic performance with high mathematical ability
0.5833333333333333,0.5,0.67,0.645,Commerce,Moderate academics with good numerical and analytical skills
0.5666666666666667,0.5,0.68,0.68,Commerce,Moderate academics with good numerical and analytical skills
0.6833333333333333,0.3333333333333333,0.59,0.695,Science,Strong academic performance with high mathematical ability
0.5833333333333333,0.5,0.71,0.655,Commerce,Moderate academics with good numerical and analytical skills
0.26666666666666666,1.0,0.77,0.865,Science,Strong academic performance with high mathematical ability
0.4666666666666667,1.0,0.83,0.75,Science,Strong academic performance with high mathematical ability
0.5333333333333333,1.0,0.63,0.7,Commerce,Moderate academics with good numerical and analytical skills
0.55,1.0,0.56,0.64,Commerce,Moderate academics with good numerical and analytical skills
0.65,1.0,0.67,0.815,Science,Strong academic performance with high mathematical ability
0.4833333333333333,1.0,0.75,0.825,Science,Strong academic performance with high mathematical ability
0.55,1.0,0.71,0.805,Commerce,Moderate academics with good numerical and analytical skills
0.6833333333333333,1.0,0.43,0.53,Commerce,Moderate academics with good numerical and analytical skills
0.7666666666666667,1.0,0.41,0.445,Commerce,Moderate academics with good numerical and analytical skills
0.5333333333333333,1.0,0.82,0.92,Science,Strong academic performance with high mathematical ability
0.75,1.0,0.61,0.615,Science,Strong academic performance with high mathematical ability
0.5166666666666667,1.0,0.28,0.21,Commerce,Moderate academics with good numerical and analytical skills
0.4666666666666667,1.0,0.82,0.76,Science,Strong academic performance with high mathematical ability
0.7,1.0,0.41,0.53,Commerce,Moderate academics with good numerical and analytical skills
0.4166666666666667,1.0,0.71,0.605,Commerce,Moderate academics with good numerical and analytical skills
0.6666666666666667,1.0,0.47,0.36,Commerce,Moderate academics with good numerical and analytical skills
0.11666666666666667,1.0,0.62,0.545,Commerce,Moderate academics with good numerical and analytical skills
0.26666666666666666,1.0,0.9,0.795,Science,Strong academic performance with high mathematical ability
0.31666666666666665,1.0,0.83,0.94,Science,Strong academic performance with high mathematical ability
0.7666666666666667,1.0,0.61,0.67,Science,Strong academic performance with high mathematical ability
0.6666666666666667,0.5,0.76,0.695,Science,Strong academic performance with high mathematical ability
0.25,1.0,0.49,0.47,Arts,Better inclination towards language-based or creative subjects
0.8,1.0,0.24,0.325,Commerce,Moderate academics with good numerical and analytical skills
0.4833333333333333,1.0,0.35,0.575,Commerce,Moderate academics with good numerical and analytical skills
0.5666666666666667,0.5,0.58,0.565,Commerce,Moderate academics with good numerical and analytical skills
0.33333333333333337,0.5,0.61,0.68,Commerce,Moderate academics with good numerical and analytical skills
